iter	Passed	Remaining
479	618	669
480	619	668
481	620	667
482	621	665
483	622	663
484	623	662
485	624	660
486	625	658
487	626	657
488	627	655
489	628	653
490	628	652
491	629	650
492	630	648
493	631	646
494	632	645
495	633	643
496	635	642
497	635	641
498	636	639
499	637	637
500	638	636
501	639	634
502	640	632
503	641	631
504	642	629
505	642	627
506	643	626
507	644	624
508	645	622
509	646	621
510	647	619
511	648	617
512	649	616
513	650	615
514	651	613
515	652	611
516	653	610
517	654	608
518	655	607
519	655	605
520	656	603
521	657	602
522	658	600
523	659	599
524	660	597
525	661	595
526	662	594
527	663	593
528	664	592
529	665	590
530	666	588
531	667	587
532	668	585
533	669	584
534	670	582
535	671	581
536	672	579
537	672	577
538	673	576
539	674	574
540	675	573
541	676	571
542	677	570
543	678	568
544	679	567
545	681	566
546	682	564
547	682	563
548	683	561
549	684	560
550	685	558
551	686	557
552	687	555
553	688	554
554	689	552
555	689	550
556	690	549
557	691	547
558	692	546
559	693	544
560	694	543
561	695	541
562	696	540
563	697	539
564	698	537
565	699	536
566	699	534
567	700	533
568	701	531
569	702	530
570	703	528
571	704	527
572	705	525
573	706	524
574	706	522
575	707	520
576	708	519
577	709	518
578	711	516
579	711	515
580	712	514
581	713	512
582	714	511
583	715	509
584	716	508
585	717	507
586	718	505
587	719	504
588	720	502
589	721	501
590	722	499
591	722	498
592	724	497
593	725	495
594	726	494
595	727	493
596	728	491
597	729	490
598	730	489
599	732	488
600	733	486
601	734	485
602	735	484
603	736	483
604	737	481
605	738	480
606	740	479
607	742	478
608	743	477
609	744	475
610	745	474
611	746	473
612	747	471
613	748	470
614	749	469
615	750	467
616	751	466
617	752	465
618	753	463
619	755	462
620	756	461
621	757	460
622	759	459
623	760	458
624	761	456
625	762	455
626	763	454
627	764	453
628	765	451
629	766	450
630	767	449
631	769	447
632	770	446
633	772	445
634	773	444
635	774	443
636	775	441
637	777	441
638	778	440
639	779	438
640	780	437
641	782	436
642	785	436
643	786	435
644	788	433
645	789	432
646	790	431
647	791	429
648	792	428
649	793	427
650	794	426
651	796	424
652	798	424
653	799	422
654	800	421
655	802	420
656	804	419
657	805	418
658	806	417
659	807	415
660	808	414
661	809	413
662	810	412
663	811	410
664	816	411
665	818	410
666	819	409
667	820	407
668	821	406
669	822	405
670	823	403
671	824	402
672	825	400
673	826	399
674	827	398
675	829	397
676	830	396
677	832	395
678	833	394
679	834	392
680	835	391
681	836	390
682	837	388
683	838	387
684	839	386
685	841	385
686	842	383
687	844	383
688	846	381
689	847	380
690	848	379
691	849	378
692	850	376
693	851	375
694	852	374
695	853	372
696	854	371
697	855	370
698	856	368
699	858	367
700	859	366
701	861	365
702	862	364
703	863	362
704	864	361
705	865	360
706	866	358
707	867	357
708	868	356
709	869	355
710	870	353
711	871	352
712	872	351
713	873	350
714	875	348
715	876	347
716	877	346
717	878	345
718	879	343
719	880	342
720	881	341
721	882	339
722	883	338
723	884	337
724	885	335
725	886	334
726	887	333
727	889	332
728	890	330
729	891	329
730	892	328
731	893	327
732	894	325
733	895	324
734	896	323
735	897	321
736	898	320
737	899	319
738	900	317
739	901	316
740	902	315
741	903	314
742	904	313
743	905	311
744	906	310
745	907	309
746	908	307
747	909	306
748	910	305
749	911	303
750	912	302
751	914	301
752	914	300
753	915	298
754	916	297
755	918	296
756	919	295
757	920	293
758	921	292
759	922	291
760	923	290
761	924	288
762	925	287
763	926	286
764	927	284
765	928	283
766	929	282
767	930	281
768	931	279
769	932	278
770	934	277
771	935	276
772	936	274
773	937	273
774	937	272
775	938	271
776	940	269
777	940	268
778	942	267
779	942	265
780	943	264
781	944	263
782	945	262
783	946	260
784	947	259
785	949	258
786	950	257
787	951	255
788	952	254
789	952	253
790	953	252
791	955	250
792	956	249
793	957	248
794	958	247
795	959	245
796	960	244
797	961	243
798	964	242
799	965	241
800	966	240
801	967	238
802	969	237
803	970	236
804	971	235
805	972	234
806	973	232
807	975	231
808	978	231
809	981	230
810	983	229
811	984	227
812	985	226
813	986	225
814	987	224
815	989	223
816	990	221
817	991	220
818	993	219
819	994	218
820	996	217
821	997	215
822	998	214
823	999	213
824	1001	212
825	1002	211
826	1003	209
827	1004	208
828	1005	207
829	1008	206
830	1010	205
831	1011	204
832	1012	202
833	1013	201
834	1014	200
835	1029	201
836	1030	200
837	1031	199
838	1034	198
839	1035	197
840	1036	195
841	1037	194
842	1038	193
843	1039	192
844	1041	190
845	1042	189
846	1043	188
847	1044	187
848	1045	185
849	1046	184
850	1047	183
851	1049	182
852	1050	180
853	1050	179
854	1052	178
855	1053	177
856	1054	175
857	1055	174
858	1057	173
859	1058	172
860	1059	171
861	1060	169
862	1061	168
863	1062	167
864	1063	165
865	1064	164
866	1065	163
867	1066	162
868	1067	160
869	1068	159
870	1069	158
871	1071	157
872	1072	155
873	1073	154
874	1074	153
875	1075	152
876	1076	151
877	1078	149
878	1079	148
879	1080	147
880	1081	146
881	1082	144
882	1084	143
883	1085	142
884	1087	141
885	1088	140
886	1089	138
887	1090	137
888	1091	136
889	1092	135
890	1093	133
891	1094	132
892	1096	131
893	1097	130
894	1098	128
895	1099	127
896	1101	126
897	1102	125
898	1103	123
899	1105	122
900	1106	121
901	1107	120
902	1108	119
903	1110	117
904	1112	116
905	1114	115
906	1115	114
907	1116	113
908	1117	111
909	1118	110
910	1119	109
911	1120	108
912	1121	106
913	1122	105
914	1124	104
915	1125	103
916	1127	102
917	1128	100
918	1129	99
919	1131	98
920	1132	97
921	1133	95
922	1134	94
923	1135	93
924	1137	92
925	1139	91
926	1142	89
927	1144	88
928	1145	87
929	1146	86
930	1147	85
931	1148	83
932	1149	82
933	1151	81
934	1153	80
935	1155	79
936	1157	77
937	1159	76
938	1160	75
939	1161	74
940	1162	72
941	1163	71
942	1164	70
943	1165	69
944	1166	67
945	1167	66
946	1169	65
947	1171	64
948	1172	63
949	1174	61
950	1175	60
951	1176	59
952	1177	58
953	1178	56
954	1179	55
955	1180	54
956	1181	53
957	1182	51
958	1185	50
959	1187	49
960	1188	48
961	1190	47
962	1191	45
963	1192	44
964	1193	43
965	1194	42
966	1194	40
967	1195	39
968	1197	38
969	1198	37
970	1199	35
971	1201	34
972	1202	33
973	1203	32
974	1205	30
975	1206	29
976	1207	28
977	1208	27
978	1209	25
979	1210	24
980	1211	23
981	1212	22
982	1213	20
983	1214	19
984	1215	18
985	1217	17
986	1218	16
987	1219	14
988	1220	13
989	1221	12
990	1222	11
991	1223	9
992	1224	8
993	1225	7
994	1226	6
995	1227	4
996	1228	3
997	1229	2
998	1230	1
999	1232	0
